"Study ID",Sample,"Lane Name",Cycles,Reads,Bases,"Map Type",Reference,"Reference Size",Mapper,"Mapstats ID","Mapped %","Paired %","Mean Insert Size","Depth of Coverage","Depth of Coverage sd","Adapter %","Transposon %","Genome Covered","Duplication Rate","Error Rate","NPG QC","Manual QC","No. Het SNPs","% Het SNPs (Total Genome)","% Het SNPs (Genome Covered)","% Het SNPs (Total No. of SNPs)","QC Pipeline","Mapping Pipeline","Archiving Pipeline","SNP Calling Pipeline","RNASeq Pipeline","Assembly Pipeline","Annotation Pipeline"
6358,EH_WTS9747284,42070_1#1,151,1841282,278033582,QC,Klebsiella_pneumoniae_Ec18_v0.1,5506539,bwa,3011302,80.5,80.1,433,40.64,19.12,0.0,NA,88.96,0.0038,0.010,pass,pending,172,0.00,0.00,0.72,Done,-,Done,-,-,Done,Done
6358,EH_WTS9747383,42070_1#2,151,773446,116790346,QC,Klebsiella_pneumoniae_Ec18_v0.1,5506539,bwa,3011647,87.7,87.4,437.9,18.59,8.85,0.0,NA,88.41,0.0536,0.009,pass,pending,91,0.00,0.00,0.42,Done,-,Done,-,-,Done,Done
6358,EH_WTS9747285,42070_1#3,151,1328108,200544308,QC,Klebsiella_pneumoniae_Ec18_v0.1,5506539,bwa,3011305,86.0,85.8,416.4,31.32,13.64,0.0,NA,92.40,0.0044,0.007,pass,pending,69,0.00,0.00,0.50,Done,-,Done,-,-,Done,Done
6358,EH_WTS9747384,42070_1#4,151,1798592,271587392,QC,Klebsiella_pneumoniae_Ec18_v0.1,5506539,bwa,3011650,87.6,87.3,425.4,43.18,19.36,0.0,NA,88.19,0.0036,0.009,pass,pending,100,0.00,0.00,0.44,Done,-,Done,-,-,Done,Done
6358,EH_WTS9747286,42070_1#5,151,408614,61700714,QC,Klebsiella_pneumoniae_Ec18_v0.1,5506539,bwa,3011308,86.6,86.3,412.5,9.70,5.15,0.0,NA,88.88,0.0566,0.009,pass,pending,24,0.00,0.00,0.22,Done,-,Done,-,-,Done,Done
6358,EH_WTS9747385,42070_1#6,151,419218,63301918,QC,Klebsiella_pneumoniae_Ec18_v0.1,5506539,bwa,3011653,77.6,77.3,437.7,8.92,4.76,0.0,NA,88.83,0.0457,0.010,pass,pending,22,0.00,0.00,0.25,Done,-,Done,-,-,Done,Done
6358,EH_WTS9747287,42070_1#7,151,1739442,262655742,QC,Klebsiella_pneumoniae_Ec18_v0.1,5506539,bwa,3011311,85.7,85.5,414.6,40.88,16.96,0.0,NA,92.64,0.0046,0.007,pass,pending,123,0.00,0.00,0.79,Done,-,Done,-,-,Done,Done
6358,EH_WTS9747386,42070_1#8,151,782996,118232396,QC,Klebsiella_pneumoniae_Ec18_v0.1,5506539,bwa,3011656,83.7,83.4,429.8,17.96,8.52,0.0,NA,88.71,0.0439,0.009,pass,pending,118,0.00,0.00,0.56,Done,-,Done,-,-,Done,Done
6358,EH_WTS9747288,42070_1#9,151,1717348,259319548,QC,Klebsiella_pneumoniae_Ec18_v0.1,5506539,bwa,3011314,88.1,87.9,415.6,41.50,17.88,0.0,NA,90.15,0.0039,0.009,pass,pending,101,0.00,0.00,0.44,Done,-,Done,-,-,Done,Done
6358,EH_WTS9747387,42070_1#10,151,281570,42517070,QC,Klebsiella_pneumoniae_Ec18_v0.1,5506539,bwa,3011659,0.0,0.0,0,0.00,0.00,0.0,NA,NA,NA,NA,pass,pending,0,0.00,0.00,0.00,Done,-,Done,-,-,Done,Done
