Lane,Sample,"Supplier Name","Public Name",Strain
22072_1#94,4464STDY6617509,1037040,NA,NA
22072_1#95,4464STDY6617510,BKR14E,NA,NA
22072_1#96,4464STDY6617511,BKR1XK,NA,NA
22072_1#97,4464STDY6617512,BKR33N,NA,NA
22072_1#98,4464STDY6617513,BKR3KY,NA,NA
22072_1#99,4464STDY6617514,BKQ9UV,NA,NA
22072_1#101,4464STDY6617517,BKQA5H,NA,NA
22072_1#102,4464STDY6617518,BKQA1N,NA,NA
22072_1#103,4464STDY6617519,BKQAAF,NA,NA
22072_1#105,4464STDY6617521,BKR3YZ,NA,NA
22072_1#106,4464STDY6617522,BKR484,NA,NA
22072_1#107,4464STDY6617523,BKQAHA,NA,NA
22072_1#110,4464STDY6617526,BKQALI,NA,NA
22072_1#111,4464STDY6617527,BKQAWA,NA,NA
22072_1#112,4464STDY6617528,BKQAQE,NA,NA
22072_1#113,4464STDY6617529,BKQAQS,NA,NA
22072_1#114,4464STDY6617530,BKQB1V,NA,NA
22072_1#117,4464STDY6617533,BKQC1Y,NA,NA
22072_1#119,4464STDY6617535,BKQDNF,NA,NA
22072_1#120,4464STDY6617537,BKQDLY,NA,NA
22072_1#121,4464STDY6617538,BKQE4W,NA,NA
22072_1#122,4464STDY6617539,BKQDS9,NA,NA
22072_1#123,4464STDY6617540,BHA90E,NA,NA
22072_1#124,4464STDY6617541,BKQEVS,NA,NA
22072_1#125,4464STDY6617542,BKQEX4,NA,NA
22072_1#126,4464STDY6617543,BKQFDC,NA,NA
22072_1#127,4464STDY6617544,BKQF9P,NA,NA
22072_1#128,4464STDY6617545,BKQG9B,NA,NA
22072_1#129,4464STDY6617546,BKQHUU,NA,NA
22072_1#130,4464STDY6617547,BKQIZF,NA,NA
22072_1#131,4464STDY6617549,BKQJ0V,NA,NA
22072_1#132,4464STDY6617552,BKQJKP,NA,NA
22072_1#134,4464STDY6617554,BKR6QH,NA,NA
22072_1#135,4464STDY6617555,BKR70W,NA,NA
22072_1#136,4464STDY6617557,BKQLEH,NA,NA
22072_1#137,4464STDY6617558,BKQL5G,NA,NA
22072_1#138,4464STDY6617559,BKQLIV,NA,NA
22072_1#139,4464STDY6617560,BKQM8H,NA,NA
22072_1#140,4464STDY6617564,BKQEBK,NA,NA
22072_1#142,4464STDY6617566,BKQ3XJ,NA,NA
22072_1#143,4464STDY6617568,BKQ40Y,NA,NA
22072_1#145,4464STDY6617571,BKQHYU,NA,NA
22072_1#146,4464STDY6617572,BKR469,NA,NA
22072_1#147,4464STDY6617574,BKQM1T,NA,NA
22072_1#149,4464STDY6617576,BKR1VU,NA,NA
22072_1#153,4464STDY6617581,BKR69Z,NA,NA
22072_1#154,4464STDY6617584,BKQH4F,NA,NA
22072_1#155,4464STDY6617585,BKR5UR,NA,NA
22072_1#156,4464STDY6617587,BKQMP9,NA,NA
22072_1#157,4464STDY6617590,BKQHP9,NA,NA
22072_1#160,4464STDY6617593,BKQJP5,NA,NA
22072_1#161,4464STDY6617594,1030259,NA,NA
22072_1#162,4464STDY6617595,BKR6LU,NA,NA
22072_1#163,4464STDY6617596,BKQFA8,NA,NA
22072_1#164,4464STDY6617597,BKQ2QU,NA,NA
22072_1#165,4464STDY6617598,BHABFY,NA,NA
22072_1#166,4464STDY6617599,BKQJN2,NA,NA
22072_1#167,4464STDY6617600,BKQA3G,NA,NA
22072_1#168,4464STDY6617601,BKQ3UG,NA,NA
22072_1#169,4464STDY6617602,BKR3EU,NA,NA
22072_1#237,4464STDY6617684,BKQ3KH,NA,NA
22072_1#239,4464STDY6617686,BKR24T,NA,NA
22072_1#240,4464STDY6617687,BKR2A9,NA,NA
22072_1#241,4464STDY6617688,BKQ4DM,NA,NA
22072_1#243,4464STDY6617690,BKQM93,NA,NA
22072_1#246,4464STDY6617693,BKQ51X,NA,NA
22072_1#247,4464STDY6617694,BKQ72E,NA,NA
22072_1#248,4464STDY6617695,BKQ5GP,NA,NA
22072_1#249,4464STDY6617696,1034103,NA,NA
22072_1#250,4464STDY6617698,BKQ737,NA,NA
WTCHG_302459_201,WTCHG_302459_201,WTCHG_302459_201,NA,NA
WTCHG_302459_202,WTCHG_302459_202,WTCHG_302459_202,NA,NA
WTCHG_302459_203,WTCHG_302459_203,WTCHG_302459_203,NA,NA
WTCHG_302459_204,WTCHG_302459_204,WTCHG_302459_204,NA,NA
WTCHG_302459_206,WTCHG_302459_206,WTCHG_302459_206,NA,NA
WTCHG_302459_207,WTCHG_302459_207,WTCHG_302459_207,NA,NA
WTCHG_302459_208,WTCHG_302459_208,WTCHG_302459_208,NA,NA
WTCHG_302459_210,WTCHG_302459_210,WTCHG_302459_210,NA,NA
WTCHG_302459_211,WTCHG_302459_211,WTCHG_302459_211,NA,NA
WTCHG_302459_212,WTCHG_302459_212,WTCHG_302459_212,NA,NA
WTCHG_302459_214,WTCHG_302459_214,WTCHG_302459_214,NA,NA
WTCHG_302459_215,WTCHG_302459_215,WTCHG_302459_215,NA,NA
WTCHG_302459_216,WTCHG_302459_216,WTCHG_302459_216,NA,NA
WTCHG_302459_217,WTCHG_302459_217,WTCHG_302459_217,NA,NA
WTCHG_302459_218,WTCHG_302459_218,WTCHG_302459_218,NA,NA
WTCHG_302459_219,WTCHG_302459_219,WTCHG_302459_219,NA,NA

