Lane,Sample,"Supplier Name","Public Name",Strain
15966_8#21,3487STDY6036402,BKQ79K_2,BKQ79K(2),NA
15966_8#57,3487STDY6036439,4604,4604,NA
15966_8#86,3487STDY6036478,BKQ2ZY,BKQ2ZY,NA
15966_8#87,3487STDY6036479,522B,522B,NA
15966_8#88,3487STDY6036480,B1874,B1874,NA
15966_8#89,3487STDY6036481,1011136,1011136,NA
15966_8#91,3487STDY6036483,BKR469,BKR469,NA
15966_8#93,3487STDY6036485,BKQ3KY,BKQ3KY,NA
15966_8#95,3487STDY6036487,BKQ2QU,BKQ2QU,NA
16228_1#2,3487STDY6036489,D36068,D36068,NA
16228_1#3,3487STDY6036490,D41222,D41222,NA
16228_1#4,3487STDY6036491,BHD3XR,BHD3XR,NA
16228_1#5,3487STDY6036492,BKR2U6,BKR2U6,NA
16228_1#6,3487STDY6036493,A40483,A40483,NA
16228_1#7,3487STDY6036494,6,6,NA
16228_1#8,3487STDY6036495,BKQAV6,BKQAV6,NA
16228_1#9,3487STDY6036496,A44810,A44810,NA
16228_1#11,3487STDY6036500,13,13,NA
16228_1#13,3487STDY6036503,D25597,D25597,NA
16228_1#14,3487STDY6036504,3712,3712,NA
16228_1#15,3487STDY6036505,8407,8407,NA
16228_1#18,3487STDY6036509,776,776,NA
16228_1#19,3487STDY6036518,D32265,D32265,NA
16228_1#21,3487STDY6036522,A44754,A44754,NA
16228_1#23,3487STDY6036532,D50395,D50395,NA
16228_1#26,3487STDY6036535,D47091,D47091,NA
16228_1#28,3487STDY6036539,C28,C28,NA
16228_1#29,3487STDY6036542,C21,C21,NA
16228_1#30,3487STDY6036543,A28,A28,NA
16228_1#31,3487STDY6036545,C18,C18,NA
16228_1#32,3487STDY6036546,C24b,C24b,NA
16228_1#34,3487STDY6036550,1007011,1007011,NA
16228_1#36,3487STDY6036553,1023547,1023547,NA
16228_1#38,3487STDY6036560,BKQ2KD,BKQ2KD,NA
16228_1#39,3487STDY6036562,D50395,D50395,NA
16228_1#40,3487STDY6036564,D25466,D25466,NA
16228_1#47,3487STDY6036472,A4,A4,NA
16228_1#50,3487STDY6036497,C32,C32,NA
16228_1#51,3487STDY6036499,3208,3208,NA
16228_1#52,3487STDY6036501,D5105,D5105,NA
16228_1#53,3487STDY6036507,D37100,D37100,NA
16228_1#54,3487STDY6036510,D4743,D4743,NA
16228_1#55,3487STDY6036511,D25884,D25884,NA
16228_1#56,3487STDY6036512,8193,8193,NA
16228_1#57,3487STDY6036513,A45755,A45755,NA
16228_1#58,3487STDY6036514,D4888,D4888,NA
16228_1#59,3487STDY6036515,D35263,D35263,NA
16228_1#60,3487STDY6036516,B10140,B10140,NA
16228_1#61,3487STDY6036517,C1408,C1408,NA
16228_1#63,3487STDY6036521,D44912,D44912,NA
16228_1#64,3487STDY6036523,A28005,A28005,NA
16228_1#65,3487STDY6036524,D30014,D30014,NA
16228_1#66,3487STDY6036525,D46208,D46208,NA
16228_1#67,3487STDY6036527,D40443,D40443,NA
16228_1#68,3487STDY6036528,D42680,D42680,NA
16228_1#69,3487STDY6036529,D40180,D40180,NA
16228_1#70,3487STDY6036530,D3538,D3538,NA
16228_1#71,3487STDY6036531,D29665,D29665,NA
16228_1#72,3487STDY6036536,D47244,D47244,NA
16228_1#73,3487STDY6036537,D51871,D51871,NA
16228_1#74,3487STDY6036540,C24a,C24a,NA
16228_1#75,3487STDY6036541,C23,C23,NA
16228_1#76,3487STDY6036544,C35,C35,NA
16228_1#77,3487STDY6036548,A43903,A43903,NA
16228_1#78,3487STDY6036549,D51871,D51871,NA
16228_1#79,3487STDY6036551,1022430,1022430,NA
16228_1#80,3487STDY6036554,D39172,D39172,NA
16228_1#81,3487STDY6036555,D49363,D49363,NA
16228_1#82,3487STDY6036556,D30074,D30074,NA
16228_1#83,3487STDY6036558,10038396,10038396,NA
16228_1#84,3487STDY6036559,D53369,D53369,NA
16228_1#85,3487STDY6036561,1027734,1027734,NA
