Lane,Sample,Supplier.Name,Public.Name,Strain
42070_1#1,EH_WTS9747284,BKQTWS,NA,NA
42070_1#2,EH_WTS9747383,CAAAEN,NA,NA
42070_1#3,EH_WTS9747285,BKQWDP,NA,NA
42070_1#4,EH_WTS9747384,CAAA0V,NA,NA
42070_1#5,EH_WTS9747286,BHB7WW,NA,NA
42070_1#6,EH_WTS9747385,BHARRN,NA,NA
42070_1#7,EH_WTS9747287,BKQYMJ,NA,NA
42070_1#8,EH_WTS9747386,CAA9LA,NA,NA
42070_1#9,EH_WTS9747288,BKQN5M,NA,NA
42070_1#10,EH_WTS9747387,CAA9WG,NA,NA
42070_1#11,EH_WTS9747289,BKQN55,NA,NA
42070_1#12,EH_WTS9747388,CAA9HV,NA,NA
42070_1#13,EH_WTS9747290,BKR7D3,NA,NA
42070_1#14,EH_WTS9747389,CAA9VZ,NA,NA
42070_1#15,EH_WTS9747291,BKR9KS,NA,NA
42070_1#16,EH_WTS9747390,CAA9NW,NA,NA
42070_1#17,EH_WTS9747482,CAALYY,NA,NA
42070_1#18,EH_WTS9747583,CAAILA,NA,NA
42070_1#19,EH_WTS9747483,CAAMFC,NA,NA
42070_1#20,EH_WTS9747584,BKRI31,NA,NA
42070_1#21,EH_WTS9747484,CAAMDS,NA,NA
42070_1#22,EH_WTS9747585,CAAIKL,NA,NA
42070_1#23,EH_WTS9747485,CAALX9,NA,NA
42070_1#24,EH_WTS9747586,BKRI29,NA,NA
42070_1#25,EH_WTS9747486,CAALWZ,NA,NA
42070_1#27,EH_WTS9747487,CAALWI,NA,NA
42070_1#28,EH_WTS9747588,CAAHKH,NA,NA
42070_1#29,EH_WTS9747488,CAALQ8,NA,NA
42070_1#30,EH_WTS9747589,BKRI37,NA,NA
42070_1#31,EH_WTS9747489,CAALPY,NA,NA
42070_1#32,EH_WTS9747590,BKR1F6,NA,NA
42070_1#33,EH_WTS9747292,BHB7VS,NA,NA
42070_1#34,EH_WTS9747391,CAA9B8,NA,NA
42070_1#35,EH_WTS9747293,BKQVIY,NA,NA
42070_1#36,EH_WTS9747392,CAA9ML,NA,NA
42070_1#37,EH_WTS9747294,BHAH6H,NA,NA
42070_1#38,EH_WTS9747393,CAA9A6,NA,NA
42070_1#39,EH_WTS9747295,BKQWMX,NA,NA
42070_1#40,EH_WTS9747394,BKRERQ,NA,NA
42070_1#41,EH_WTS9747296,BKQWKJ,NA,NA
42070_1#42,EH_WTS9747395,CAA9M8,NA,NA
42070_1#43,EH_WTS9747297,BKQVL8,NA,NA
42070_1#44,EH_WTS9747396,CAA99X,NA,NA
42070_1#45,EH_WTS9747298,BKQVLV,NA,NA
42070_1#46,EH_WTS9747397,CAA99B,NA,NA
42070_1#47,EH_WTS9747299,BKQVLY,NA,NA
42070_1#48,EH_WTS9747398,BKRE7V,NA,NA
42070_1#49,EH_WTS9747490,CAALPX,NA,NA
42070_1#50,EH_WTS9747591,CAA34HA,NA,NA
42070_1#51,EH_WTS9747491,CAAM52,NA,NA
42070_1#52,EH_WTS9747592,CAAHN2,NA,NA
42070_1#53,EH_WTS9747492,CAAM50,NA,NA
42070_1#54,EH_WTS9747593,BKRIF0,NA,NA
42070_1#55,EH_WTS9747493,CAAM4Q,NA,NA
42070_1#57,EH_WTS9747494,CAAM47,NA,NA
42070_1#59,EH_WTS9747495,CAAM4E,NA,NA
42070_1#60,EH_WTS9747596,CAAHRB,NA,NA
