Lane,"Assembly Type","Total Length","No Contigs","Avg Contig Length","Largest Contig",N50,"Contigs in N50",N60,"Contigs in N60",N70,"Contigs in N70",N80,"Contigs in N80",N90,"Contigs in N90",N100,"Contigs in N100","No scaffolded bases (N)","Total Raw Reads","Reads Mapped","Reads Unmapped","Reads Paired","Reads Unpaired","Total Raw Bases","Total Bases Mapped","Total Bases Mapped (Cigar)","Average Read Length","Maximum Read Length","Average Quality","Insert Size Average","Insert Size Std Dev"
42070_1#1,"Scaffold: SPAdes + Improvement",5825834,105,55484.13,488535,178606,10,144717,14,112087,18,86844,24,30128,35,300,105,1744,1841282,1798807,42475,1767980,30827,278033582,271619857,271538363,151,151,35.3,431.6,121.2
42070_1#2,"Scaffold: SPAdes + Improvement",5307854,37,143455.51,728287,372478,6,244548,8,191743,11,133365,14,99466,18,322,37,588,773446,757205,16241,745104,12101,116790346,114337955,114304912,151,151,35.3,435.5,107.2
42070_1#3,"Scaffold: SPAdes + Improvement",5750347,92,62503.77,365516,177673,12,141254,15,100919,20,67027,27,40373,37,302,92,340,1328108,1301870,26238,1283238,18632,200544308,196582370,196526733,151,151,35.4,415.3,109.2
42070_1#4,"Scaffold: SPAdes + Improvement",5393226,27,199749.11,2165763,814995,2,482444,3,375409,4,224209,6,101407,9,311,27,721,1798592,1763204,35388,1738720,24484,271587392,266243804,266172068,151,151,35.5,423.8,113.7
42070_1#5,"Scaffold: SPAdes + Improvement",3637,1,3637.00,3637,3637,1,3637,1,3637,1,3637,1,3637,1,3637,1,0,408614,2017,406597,1808,209,61700714,304567,304442,151,151,35.4,413.3,116.9
42070_1#6,"Scaffold: SPAdes + Improvement",33890,9,3765.56,10543,4303,3,4303,3,3337,4,2057,6,1917,7,1646,9,0,419218,36265,382953,34492,1773,63301918,5476015,5473262,151,151,35.3,577.4,548.7
42070_1#7,"Scaffold: SPAdes + Improvement",5769634,73,79036.08,649250,181585,10,150940,14,120088,18,87992,23,56249,32,401,73,422,1739442,1703900,35542,1678480,25420,262655742,257288900,257214106,151,151,35.4,413.4,111.0
42070_1#8,"Scaffold: SPAdes + Improvement",5402254,49,110250.08,1104745,509388,4,325081,6,267550,7,193082,10,94255,13,403,49,729,782996,767909,15087,757118,10791,118232396,115954259,115921213,151,151,35.4,429.4,112.1
42070_1#9,"Scaffold: SPAdes + Improvement",5579994,56,99642.75,886847,585327,4,517579,5,364040,7,316556,8,65152,13,360,56,356,1717348,1686342,31006,1664588,21754,259319548,254637642,254570010,151,151,35.5,414.3,112.6
42070_1#10,"Scaffold: SPAdes + Improvement",2767690,47,58887.02,396305,151382,6,148262,7,67270,11,53694,15,35687,21,302,47,283,281570,275662,5908,271580,4082,42517070,41624962,41610571,151,151,35.2,429.1,112.5
42070_1#11,"Scaffold: SPAdes + Improvement",5595013,41,136463.73,759763,421151,6,381322,7,356711,9,182883,11,87052,16,312,41,730,2571778,2519459,52319,2482450,37009,388338478,380438309,380328734,151,151,35.4,410.3,112.1
42070_1#12,"Scaffold: SPAdes + Improvement",5606445,29,193325.69,1564462,393654,4,376651,5,364115,6,344834,8,213383,10,323,29,289,2874448,2814116,60332,2772894,41222,434041648,424931516,424810892,151,151,35.4,418.2,112.9
42070_1#13,"Scaffold: SPAdes + Improvement",5581786,52,107342.04,939988,586277,4,377675,5,316554,7,232601,9,65833,14,315,52,218,2277484,2223687,53797,2187066,36621,343900084,335776737,335677793,151,151,35.4,421.8,111.6
42070_1#14,"Scaffold: SPAdes + Improvement",5679369,43,132078.35,611023,328512,7,260981,9,242193,11,201912,13,101585,18,300,43,340,1689362,1650679,38683,1624236,26443,255093662,249252529,249180336,151,151,35.4,416.8,114.9
42070_1#15,"Scaffold: SPAdes + Improvement",5590722,44,127061.86,997180,415423,5,226574,7,201026,9,148440,13,86843,18,538,44,869,1636858,1596988,39870,1571294,25694,247165558,241145188,241074148,151,151,35.4,423.4,117.1
42070_1#17,"Scaffold: SPAdes + Improvement",5586090,51,109531.18,818335,380669,6,353263,8,289092,9,248104,11,86766,16,332,51,413,1536958,1503403,33555,1478674,24729,232080658,227013853,226946867,151,151,35.3,419.0,107.0
42070_1#18,"Scaffold: SPAdes + Improvement",5536366,36,153787.94,854759,371595,6,355347,7,282563,9,197292,12,94336,16,388,36,1784,1748202,1715484,32718,1692378,23106,263978502,259038084,258967987,151,151,35.5,408.2,108.0
42070_1#19,"Scaffold: SPAdes + Improvement",5589012,55,101618.40,1062631,365935,6,365082,7,244224,9,215924,11,86632,16,332,55,935,1536206,1507141,29065,1486720,20421,231967106,227578291,227515838,151,151,35.5,427.0,109.1
42070_1#20,"Scaffold: SPAdes + Improvement",5592123,49,114124.96,1339829,413440,4,347895,6,237044,8,200446,10,94361,15,340,49,907,2027146,1985935,41211,1957094,28841,306099046,299876185,299793044,151,151,35.4,410.0,112.1
42070_1#21,"Scaffold: SPAdes + Improvement",5879577,115,51126.76,607198,155730,10,117389,15,92146,20,59612,28,30666,42,308,115,1033,773588,756344,17244,744174,12170,116811788,114207944,114173277,151,151,35.4,417.2,113.4
42070_1#22,"Scaffold: SPAdes + Improvement",5690745,92,61855.92,731556,285472,7,243112,9,219912,11,160594,14,74859,19,312,92,975,890698,869888,20810,855888,14000,134495398,131353088,131314537,151,151,35.4,408.2,113.0
42070_1#23,"Scaffold: SPAdes + Improvement",6645493,1466,4533.08,119593,24767,74,17803,106,12390,151,7968,218,1837,383,126,1466,25859,1460564,1425233,35331,1398658,26575,220545164,215210183,215104152,151,151,35.4,426.8,110.9
42070_1#24,"Scaffold: SPAdes + Improvement",5591553,58,96406.09,873733,467325,5,413598,6,353501,7,200330,10,103409,13,324,58,586,1618432,1586048,32384,1562702,23346,244383232,239493248,239424485,151,151,35.4,411.8,112.9
42070_1#25,"Scaffold: SPAdes + Improvement",5436924,79,68821.82,792297,376556,6,359082,7,307650,9,122354,11,86623,17,378,79,1301,1044492,1022299,22193,1006342,15957,157718292,154367149,154322630,151,151,35.4,410.0,110.5
42070_1#27,"Scaffold: SPAdes + Improvement",5320881,31,171641.32,913385,465097,4,424594,5,404491,6,217799,8,101778,12,385,31,411,1858740,1818616,40124,1791338,27278,280669740,274611016,274534130,151,151,35.4,423.3,114.3
42070_1#28,"Scaffold: SPAdes + Improvement",5722240,141,40583.26,732238,330084,6,287569,8,242664,11,202067,13,74859,18,300,141,791,1496074,1468465,27609,1449856,18609,225907174,221738215,221677078,151,151,35.5,401.1,117.1
42070_1#29,"Scaffold: SPAdes + Improvement",5322886,39,136484.26,915044,424594,5,377107,6,359082,7,122369,10,94255,15,311,39,145,2362922,2314611,48311,2282176,32435,356801222,349506261,349410756,151,151,35.5,408.1,113.4
42070_1#30,"Scaffold: SPAdes + Improvement",5591262,56,99843.96,818194,365923,6,353263,7,263364,9,215924,11,100781,15,367,56,680,1516970,1484975,31995,1465446,19529,229062470,224231225,224171108,151,151,35.5,408.0,114.9
42070_1#31,"Scaffold: SPAdes + Improvement",5321524,34,156515.41,913385,424592,5,376982,6,359250,7,241402,9,99720,13,311,34,185,1842026,1793607,48419,1759568,34039,278145926,270834657,270750959,151,151,35.3,445.9,116.0
