Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
15966_8#21.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	97.97%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,98.892%;O1/O2v1_04_glf,96.883%;O1/O2v1_05_wbbN,97.987%;O1/O2v1_06_wbbO,99.471%;O1/O2v1_07_kfoC,97.95%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.865%;O3/O3a_01_manC,99.788%;O3/O3a_02_manB,98.684%;Extra_genes_wbbZ_01_wbbZ,99.63%
15966_8#57.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	99.97%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,99.735%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
15966_8#86.contigs_velvet	O3b	O3b	Good	?-	98.78%	99.31%	n/a	6 / 8 (75%)	O3b_02_manB,99.783%;O3b_03_wzm,99.237%;O3b_04_wzt,99.769%;O3b_05_wbdD,99.563%;O3b_06_wbdA,99.762%;O3b_07_wbdB,99.738%	O3b_01_manC;O3b_08_wbdC	0		0 / 8 (0%)		4	O12_01_rfbB,98.31%;O12_03_rfbD,98.99%;OL101_02_rfbA,97.222%;O12_04_rfbC,97.297%
15966_8#87.contigs_velvet	O1/O2v2	O2afg	Very high		100.00%	98.52%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,99.221%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.947%;O1/O2v2_09_gmlB,98.777%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		2	OL104_01_manC,91.314%;O3/O3a_02_manB,92.967%
15966_8#88.contigs_velvet	O3/O3a	O3/O3a	Good	?-	100.00%	98.65%	n/a	7 / 8 (87.5%)	O3/O3a_01_manC,99.788%;O3/O3a_03_wzm,100.0%;O3/O3a_04_wzt,100.0%;O3/O3a_05_wbdD,99.013%;O3/O3a_06_wbdA,97.86%;O3/O3a_07_wbdB,100.0%;O3/O3a_08_wbdC,100.0%	O3/O3a_02_manB	0		0 / 8 (0%)		0	
15966_8#89.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	98.11%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.051%;O1/O2v1_04_glf,98.442%;O1/O2v1_05_wbbN,99.664%;O1/O2v1_06_wbbO,98.942%;O1/O2v1_07_kfoC,96.811%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.865%;O3/O3a_01_manC,100.0%;O3/O3a_02_manB,98.684%;Extra_genes_wbbZ_01_wbbZ,99.63%
15966_8#93.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	97.78%	-1 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.19%;O1/O2v1_03_wbbM,99.209%;O1/O2v1_04_glf,98.182%;O1/O2v1_05_wbbN,97.987%;O1/O2v1_06_wbbO,97.884%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.865%;O3/O3a_01_manC,99.576%;O3/O3a_02_manB,99.123%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#11.contigs_velvet	O12	O12	Very high		100.00%	99.22%	0 bp	8 / 8 (100%)	O12_01_rfbB,99.718%;O12_02_rfbA,100.0%;O12_03_rfbD,100.0%;O12_04_rfbC,100.0%;O12_05_wbbL,100.0%;O12_06_wzm,100.0%;O12_07_wzt,100.0%;O12_08_wbbB,98.987%		0		0 / 8 (0%)		0	
16228_1#13.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	99.97%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,99.735%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#14.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	97.86%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,99.609%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.442%;O1/O2v1_05_wbbN,97.315%;O1/O2v1_06_wbbO,98.413%;O1/O2v1_07_kfoC,96.811%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.865%;O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
16228_1#15.contigs_velvet	OL101	unknown (OL101)	Good	?-+	99.56%	95.16%	n/a	7 / 9 (77.8%)	OL101_01_rfbB,96.901%;OL101_02_rfbA,98.188%;OL101_03_rfbD,98.316%;OL101_05_wbbL,98.195%;OL101_06_wzm,98.921%;OL101_07_wzt,99.099%;OL101_08_wbbB,95.542%	OL101_04_rfbC;OL101_09_glycosylhydrolase	1	OL103_01_rmlC,96.774%	0 / 9 (0%)		1	OL103_01_rmlC,93.548%
16228_1#18.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	97.89%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,99.609%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.701%;O1/O2v1_05_wbbN,97.315%;O1/O2v1_06_wbbO,98.677%;O1/O2v1_07_kfoC,96.811%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.865%;O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#19.contigs_velvet	O1/O2v1	O2a	Very high		100.00%	98.76%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.182%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,98.942%;O1/O2v1_07_kfoC,99.089%		0		0 / 7 (0%)		2	O3b_01_manC,100.0%;O3/O3a_02_manB,99.123%
