Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
15966_8#21.contigs_velvet	KL114	unknown (KL114)	Very high		100.00%	99.83%	-1 bp	19 / 19 (100%)	KL114_01_galF,99.666%;KL114_02_cpsACP,100.0%;KL114_03_wzi,96.98%;KL114_04_wza,100.0%;KL114_05_wzb,100.0%;KL114_06_wzc,100.0%;KL114_07_wbaP,100.0%;KL114_08_wzy,100.0%;KL114_09_wciP,99.745%;KL114_10_wzx,100.0%;KL114_11_wcqZ,100.0%;KL114_12_wcuQ,100.0%;KL114_13,99.807%;KL114_14_wbaZ,99.742%;KL114_15,100.0%;KL114_16_gnd,100.0%;KL114_17_manC,100.0%;KL114_18_manB,99.781%;KL114_19_ugd,100.0%		0		0 / 19 (0%)		2	KL40_05_rfaG,98.421%;KL150_19_gmd,99.104%
15966_8#57.contigs_velvet	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,99.788%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,100.0%
15966_8#86.contigs_velvet	KL14	K14	High	-	99.83%	99.97%	-1570 bp	23 / 25 (92%)	KL14_01_galF,100.0%;KL14_02_cpsACP,100.0%;KL14_03_wzi,100.0%;KL14_04_wza,100.0%;KL14_05_wzb,100.0%;KL14_06_wzc,100.0%;KL14_07,100.0%;KL14_08_wzx,100.0%;KL14_09,100.0%;KL14_10,100.0%;KL14_11,100.0%;KL14_12,100.0%;KL14_13,99.708%;KL14_14,100.0%;KL14_15,100.0%;KL14_16,100.0%;KL14_17_wcaJ,100.0%;KL14_18_gnd,100.0%;KL14_21_rmlB,100.0%;KL14_22_rmlA,100.0%;KL14_23_rmlD,100.0%;KL14_24_rmlC,100.0%;KL14_25_ugd,100.0%	KL14_19_manC	0		1 / 25 (4%)	KL14_20_manB,98.287%	2	KL50_10,99.245%;KL150_19_gmd,99.701%
15966_8#87.contigs_velvet	KL122	unknown (KL122)	Very high		100.00%	99.98%	0 bp	19 / 19 (100%)	KL122_01_galF,100.0%;KL122_02_cpsACP,99.524%;KL122_03_wzi,100.0%;KL122_04_wza,100.0%;KL122_05_wzb,100.0%;KL122_06_wzc,100.0%;KL122_07_wzy,100.0%;KL122_08_wcuC,100.0%;KL122_09_wckM,100.0%;KL122_10_wcuQ,99.749%;KL122_11_wcuD,100.0%;KL122_12,100.0%;KL122_13_wzx,100.0%;KL122_14_wbaZ,100.0%;KL122_15_wcaJ,100.0%;KL122_16_gnd,100.0%;KL122_17_manC,100.0%;KL122_18_manB,100.0%;KL122_19_ugd,100.0%		0		0 / 19 (0%)		4	KL40_03_wcpO,99.798%;KL40_04,99.504%;KL40_05_rfaG,100.0%;KL150_19_gmd,98.799%
15966_8#88.contigs_velvet	KL49	K49	Low	?-+	100.00%	99.59%	n/a	17 / 18 (94.4%)	KL49_01_galF,99.331%;KL49_02_cpsACP,100.0%;KL49_03_wzi,100.0%;KL49_04_wza,100.0%;KL49_05_wzb,100.0%;KL49_06_wzc,99.861%;KL49_07_wbaP,100.0%;KL49_08_wzy,100.0%;KL49_09_wcuI,100.0%;KL49_10_wcuF,99.725%;KL49_11_wclK,100.0%;KL49_12_wclW,100.0%;KL49_13_wzx,100.0%;KL49_14_wcpF,100.0%;KL49_15,100.0%;KL49_16_gnd,99.787%;KL49_17_manC,99.788%	KL49_18_manB	2	KL131_21_ugd,100.0%;KL137_19,100.0%	0 / 18 (0%)		1	KL150_19_gmd,84.985%
15966_8#89.contigs_velvet	KL5	K5	Good	?-	100.00%	99.96%	n/a	18 / 19 (94.7%)	KL5_01_galF,100.0%;KL5_02_cpsACP,100.0%;KL5_03_wzi,99.802%;KL5_04_wza,100.0%;KL5_05_wzb,100.0%;KL5_06_wzc,99.723%;KL5_07,100.0%;KL5_08_wzx,100.0%;KL5_09,100.0%;KL5_10,100.0%;KL5_11,100.0%;KL5_12,100.0%;KL5_13,100.0%;KL5_15_wcaJ,100.0%;KL5_16_gnd,99.787%;KL5_17_manC,100.0%;KL5_18_manB,100.0%;KL5_19_ugd,99.743%	KL5_14	0		0 / 19 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,99.104%
15966_8#93.contigs_velvet	KL43	K43	Good	-	98.23%	97.08%	-471 bp	18 / 19 (94.7%)	KL43_01_galF,99.666%;KL43_02_cpsACP,98.571%;KL43_03_wzi,98.333%;KL43_04_wza,99.208%;KL43_05_wzb,100.0%;KL43_06_wzc,99.307%;KL43_07_wcaJ,99.58%;KL43_08_wcuO,98.898%;KL43_09_wzy,99.204%;KL43_10_wcpY,99.252%;KL43_11_wcuE,99.698%;KL43_12_wbaZ,100.0%;KL43_13_wcuV,98.795%;KL43_14_wzx,98.958%;KL43_16_gnd,99.36%;KL43_17_manC,99.364%;KL43_18_manB,100.0%;KL43_19_ugd,99.486%	KL43_15_wcpZ	0		0 / 19 (0%)		2	KL40_05_rfaG,96.842%;KL150_19_gmd,98.209%
16228_1#11.contigs_velvet	KL132	unknown (KL132)	High	-*	100.00%	97.34%	0 bp	20 / 21 (95.2%)	KL132_01_galF,99.666%;KL132_02_cpsACP,90.476%;KL132_03_wzi,98.536%;KL132_04_wza,99.471%;KL132_05_wzb,97.887%;KL132_06_wzc,99.722%;KL132_07_wzy,99.757%;KL132_08_wcaN,98.993%;KL132_09_wcaO,97.889%;KL132_10,98.78%;KL132_11_wclT,98.491%;KL132_12_manC,98.52%;KL132_13_manB,99.125%;KL132_14_wbaZ,97.922%;KL132_15_wcaJ,98.927%;KL132_16_gnd,99.574%;KL132_17,98.256%;KL132_18_wcuV,98.176%;KL132_19_wzx,98.856%;KL132_21_ugd,99.229%	KL132_20_wcpG	0		0 / 21 (0%)		5	KL137_20_rmlB,99.155%;KL150_19_gmd,97.313%;KL159_18_rmlD,99.327%;KL80_20_rmlA,98.276%;KL80_22_rmlC,98.919%
16228_1#13.contigs_velvet	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,99.788%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,100.0%
16228_1#14.contigs_velvet	KL62	K62	Good	?-	100.00%	99.72%	n/a	18 / 19 (94.7%)	KL62_01_galF,100.0%;KL62_02_cpsACP,100.0%;KL62_03_wzi,99.606%;KL62_04_wza,100.0%;KL62_05_wzb,100.0%;KL62_06_wzc,99.723%;KL62_07_wbaP,99.58%;KL62_08,99.738%;KL62_09,99.419%;KL62_10,100.0%;KL62_11_wzy,99.486%;KL62_13,99.167%;KL62_14,100.0%;KL62_15_wzx,100.0%;KL62_16_gnd,100.0%;KL62_17_manC,100.0%;KL62_18_manB,99.781%;KL62_19_ugd,100.0%	KL62_12	0		0 / 19 (0%)		2	KL40_05_rfaG,97.368%;KL150_19_gmd,98.806%
